OCHRE Metadata Permanent Citation URL,Filename
http://pi.lib.uchicago.edu/1001/org/ochre/b422203d-00ae-3475-8af5-ae28cd530bb5,Ashkelon Surface 01.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/d53adefd-bca2-5ba5-0642-d3a91638491d,Ashkelon Surface 02.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/ee8e6b33-1fe0-9b44-58f6-f57a560f8c9d,Ashkelon Surface 03.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/caec8d31-e48e-647a-13d7-cca8b37160a2,Ashkelon Surface 04.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/feade8f7-dfc0-6aa2-06c7-a268e3cb5d5e,Ashkelon Surface 05.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/45a08fc5-ec47-509b-ea59-16336513deb8,Ashkelon Surface 06.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/fc1129f4-103a-486e-3dbc-5efec7db3a5e,Ashkelon Surface 07.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/599835ea-ea91-7d99-60dd-d333570eb562,Ashkelon Surface 08.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/037bcf46-ecf6-1668-c93f-8cc1a9c0e546,Ashkelon Surface 09.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/6fb48647-f42f-5093-e39b-42f2dbe0e4f3,Ashkelon Surface 10.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/0a5a53a7-9b87-b169-19ee-047bac4c681c,Ashkelon Surface 11.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/28081294-7ebc-7d99-2f0e-eeef9b67b4c1,Ashkelon Surface 12.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/d67b82b4-326c-b7d2-c380-c857da596da6,Ashkelon Surface 13.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/adc0644b-b304-607c-6946-6ca4b1a7cdeb,Ashkelon Surface 14.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/8f41364b-18bd-9e15-f3c1-7979e41dcfc0,A00_12858.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/d7ef688d-0db8-f6a1-38e1-badf553bcb6c,A00_12859.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/392f82ad-ffe2-1c8a-4891-bf22aea2d9b5,A00_12860.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/421e594c-f182-905d-9ed4-c8c3c4331ca6,A00_12861.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/151388ce-6b1a-447c-b0d0-11bf014f0b36,A00_12862.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/6d063ce3-cc6f-5a3a-a67e-18f8d2fcb5e6,A00_12863.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/832d0bfa-854a-947d-d2d0-58da795d8fef,A00_12864.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/78c1c26a-48fa-c75d-dab7-b41038c95b50,A00_12865.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/6c298620-aadc-2cf1-225b-2ced80f581f9,A00_12866.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/7314c452-3df2-8483-a6f2-43d8edaf7f4d,A00_12867.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/13ebcf76-992c-3106-a9ff-c44b75788c29,A00_12868.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/3495dba2-6844-da7b-ab90-ec88421607b5,A00_12869.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/86607f58-0743-7552-bff2-aadfd5e8c79c,A00_12870.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/a557fcf0-370e-83f4-aa85-e57f03f07c70,A00_12871.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/e6b39a17-22c9-59f4-46b7-86baa3b6afa1,A00_12872.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/4a540e8d-8e8d-6eed-556c-534c30384140,A00_12872B.jpg
http://pi.lib.uchicago.edu/1001/org/ochre/0161912d-d8d6-b45a-a92b-f9f845773fb5,A00_12873.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/d9be92a7-1f2f-8342-7c26-315e4937af91,A00_12874.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/7499fcb9-07fe-ff09-7918-e85a887fc7dc,A00_12875a.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/8691536c-a866-ed2b-7bb5-b61f55902c16,A00_12875b.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/a0adfd85-c3f2-8cee-d4aa-70906d68cc74,A00_12876.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/337b1878-3b0b-9331-147c-7df18650769e,A00_12877.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/8418228a-d6d5-1041-360c-e817248017c2,A00_12878.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/cfc26b6b-aad0-1b95-0e4e-8f426e234147,A00_12879.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/217e4015-f169-a7a0-939f-0a0020219863,A00_12880.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/63071860-e1f0-ed19-e798-bf9ae4eeb549,A00_12881.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/b03119c6-809f-6b5e-ae80-3b22bd96f56e,A00_12882.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/bbf8bd8b-f5a2-0b86-9861-cd2b0cd655e0,A00_12883.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/fc801801-c004-650a-32cf-423c048970d1,A00_12884.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/437e1791-8607-92b2-2a22-e2fd26c79608,A00_12885.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/ca662d30-9409-34fd-0506-0f79726199c2,A00_12886.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/fa735868-45f4-00f6-646f-8f010d4101e9,A00_12887.JPG
http://pi.lib.uchicago.edu/1001/org/ochre/b505d41f-53d0-c400-f5a7-df024d10657d,A00_12888.JPG
